;age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;Bank deposit(target);n_marital;b_default;b_housing;b_loan;n_poutcome;b_deposit
13;88;retired;married;secondary;no;433.0;no;no;telephone;15.0;sep;161.0;1.0;274.0;1.0;failure;no;1;False;False;False;-1;False
14;87;retired;married;primary;no;230.0;no;no;cellular;30.0;oct;144.0;1.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
15;87;retired;divorced;primary;no;6746.0;no;no;telephone;21.0;oct;749.0;1.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
16;87;retired;married;primary;no;230.0;no;no;cellular;30.0;oct;144.0;1.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
17;87;retired;married;secondary;no;1000000.0;no;no;telephone;15.0;dec;150.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
18;87;retired;married;primary;no;2190.0;no;no;telephone;12.0;jan;512.0;2.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
19;86;retired;married;secondary;no;1503.0;no;no;telephone;18.0;mar;165.0;3.0;101.0;1.0;other;no;1;False;False;False;0;False
20;86;retired;married;primary;no;0.0;no;no;cellular;15.0;apr;141.0;12.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
21;86;retired;divorced;;no;0.0;no;no;telephone;26.0;aug;189.0;1.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
22;86;retired;divorced;;no;157.0;no;no;telephone;7.0;sep;147.0;1.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
23;86;retired;single;;no;614.0;no;no;telephone;9.0;dec;595.0;1.0;-1.0;0.0;unknown;yes;0;False;False;False;0;True
24;86;retired;married;;no;1817.0;no;no;cellular;16.0;mar;272.0;3.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
25;86;retired;married;;no;1503.0;no;no;telephone;18.0;mar;165.0;3.0;101.0;1.0;other;no;1;False;False;False;0;False
26;86;retired;married;;no;5236.0;no;no;telephone;1.0;apr;558.0;2.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
27;86;retired;married;;no;1255.0;no;no;telephone;14.0;jul;247.0;1.0;180.0;3.0;success;yes;1;False;False;False;1;True
28;86;retired;married;;no;1255.0;no;no;cellular;14.0;oct;192.0;2.0;92.0;4.0;success;no;1;False;False;False;1;False
29;85;retired;married;;no;12114.0;no;no;telephone;12.0;feb;165.0;2.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
30;85;retired;divorced;;no;7613.0;no;no;cellular;18.0;feb;355.0;3.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
31;85;retired;married;;no;98.0;no;no;unknown;30.0;apr;416.0;1.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
32;85;retired;married;;no;1934.0;no;no;telephone;12.0;jan;140.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
33;85;retired;married;;no;1255.0;no;no;cellular;15.0;jan;233.0;3.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
34;84;retired;divorced;;no;639.0;no;no;telephone;18.0;may;353.0;3.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
35;84;retired;married;;no;1702.0;no;no;telephone;26.0;aug;185.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
36;84;entrepreneur;married;;no;0.0;no;no;telephone;30.0;sep;992.0;2.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
37;84;retired;married;;no;1791.0;no;no;telephone;30.0;oct;62.0;3.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
39;84;retired;divorced;;no;2619.0;no;no;telephone;8.0;feb;145.0;2.0;115.0;2.0;failure;no;-1;False;False;False;-1;False
40;84;retired;married;;no;81204.0;no;no;telephone;1.0;apr;390.0;1.0;94.0;3.0;success;yes;1;False;False;False;1;True
41;84;retired;divorced;;no;639.0;no;no;telephone;18.0;may;353.0;3.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
42;84;retired;divorced;primary;no;1680.0;no;no;telephone;6.0;sep;113.0;5.0;97.0;3.0;other;no;-1;False;False;False;0;False
43;84;retired;married;tertiary;no;4761.0;no;no;telephone;9.0;sep;1405.0;1.0;92.0;3.0;failure;yes;1;False;False;False;-1;True
44;83;retired;married;unknown;no;0.0;no;no;cellular;18.0;mar;140.0;10.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
45;83;retired;married;primary;no;425.0;no;no;telephone;22.0;jun;883.0;1.0;140.0;1.0;failure;yes;1;False;False;False;-1;True
46;83;retired;divorced;primary;no;0.0;no;no;telephone;31.0;may;664.0;1.0;77.0;3.0;success;no;-1;False;False;False;1;False
47;83;retired;divorced;primary;no;1097.0;no;no;telephone;5.0;mar;181.0;1.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
48;83;retired;married;primary;no;425.0;no;no;telephone;2.0;feb;912.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
49;83;retired;married;tertiary;no;6236.0;no;no;cellular;2.0;feb;283.0;2.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
50;83;retired;single;primary;no;3349.0;no;no;telephone;12.0;feb;89.0;1.0;-1.0;0.0;unknown;no;0;False;False;False;0;False
51;83;retired;divorced;primary;no;1097.0;no;no;telephone;5.0;mar;181.0;1.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
52;83;retired;married;secondary;no;0.0;no;no;cellular;18.0;mar;140.0;10.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
53;83;retired;divorced;primary;no;46.0;no;no;cellular;25.0;mar;115.0;1.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
54;83;retired;married;primary;no;425.0;no;no;telephone;22.0;jun;883.0;1.0;140.0;1.0;failure;yes;1;False;False;False;-1;True
55;83;retired;married;tertiary;no;6236.0;no;no;cellular;11.0;aug;155.0;1.0;190.0;2.0;failure;no;1;False;False;False;-1;False
56;83;retired;divorced;primary;no;0.0;no;no;telephone;3.0;sep;225.0;1.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
57;83;retired;married;primary;no;425.0;no;no;telephone;22.0;sep;773.0;1.0;92.0;2.0;success;yes;1;False;False;False;1;True
58;83;retired;married;unknown;no;4216.0;no;no;cellular;12.0;oct;92.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
59;83;retired;married;tertiary;no;6236.0;no;no;cellular;12.0;oct;766.0;1.0;62.0;3.0;failure;no;1;False;False;False;-1;False
60;83;retired;single;primary;no;1965.0;no;no;telephone;13.0;oct;1003.0;3.0;-1.0;0.0;unknown;yes;0;False;False;False;0;True
61;83;retired;divorced;primary;no;2619.0;no;no;telephone;16.0;oct;181.0;2.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
62;83;retired;divorced;primary;no;20.0;no;no;cellular;27.0;nov;65.0;3.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
63;83;retired;married;tertiary;no;4761.0;no;no;telephone;8.0;mar;659.0;1.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
64;83;retired;married;secondary;no;0.0;no;no;telephone;7.0;may;201.0;2.0;268.0;2.0;failure;no;1;False;False;False;-1;False
65;83;retired;divorced;primary;no;0.0;no;no;telephone;31.0;may;664.0;1.0;77.0;3.0;success;no;-1;False;False;False;1;False
66;83;retired;married;tertiary;no;4761.0;no;no;telephone;9.0;jun;294.0;2.0;93.0;1.0;success;no;1;False;False;False;1;False
67;83;housemaid;divorced;primary;no;5944.0;no;no;cellular;30.0;jul;200.0;3.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
68;83;housemaid;married;primary;no;2140.0;no;no;cellular;6.0;sep;109.0;3.0;276.0;8.0;other;no;1;False;False;False;0;False
69;83;retired;divorced;primary;no;4565.0;no;no;cellular;13.0;sep;175.0;2.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
70;82;retired;married;tertiary;no;278.0;no;no;cellular;16.0;feb;223.0;7.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
71;82;housemaid;married;primary;no;2140.0;no;no;telephone;14.0;apr;118.0;6.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
72;82;retired;married;unknown;no;211.0;no;no;telephone;22.0;apr;195.0;3.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
73;82;retired;married;primary;no;8603.0;no;no;cellular;7.0;jul;429.0;1.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
74;82;retired;married;secondary;no;0.0;no;no;telephone;12.0;aug;150.0;2.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
75;82;retired;married;secondary;no;276.0;no;no;telephone;17.0;aug;199.0;1.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
76;82;retired;married;primary;no;103.0;no;no;cellular;1.0;sep;368.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
77;82;unknown;divorced;unknown;no;0.0;no;no;telephone;9.0;sep;277.0;5.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
78;82;retired;married;primary;no;8603.0;no;no;cellular;22.0;oct;306.0;3.0;107.0;1.0;success;yes;1;False;False;False;1;True
79;82;housemaid;divorced;primary;no;1381.0;no;no;cellular;27.0;oct;156.0;1.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
80;82;retired;divorced;tertiary;no;0.0;no;no;telephone;12.0;nov;226.0;1.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
81;82;housemaid;divorced;primary;no;1381.0;no;no;cellular;28.0;jan;86.0;3.0;93.0;1.0;failure;no;-1;False;False;False;-1;False
82;82;retired;married;secondary;no;121.0;no;no;telephone;19.0;feb;330.0;1.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
83;82;retired;divorced;primary;no;0.0;no;no;telephone;15.0;mar;506.0;2.0;195.0;1.0;other;yes;-1;False;False;False;0;True
84;82;retired;divorced;primary;no;1419.0;no;no;telephone;26.0;mar;139.0;1.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
85;82;retired;married;primary;no;243.0;no;no;cellular;26.0;jul;275.0;1.0;180.0;2.0;success;yes;1;False;False;False;1;True
86;82;housemaid;divorced;primary;no;1381.0;no;no;cellular;28.0;jul;844.0;5.0;181.0;4.0;failure;yes;-1;False;False;False;-1;True
87;82;retired;divorced;primary;no;0.0;no;no;cellular;6.0;aug;381.0;3.0;295.0;1.0;failure;no;-1;False;False;False;-1;False
88;82;retired;divorced;primary;no;928.0;no;no;telephone;23.0;sep;217.0;2.0;188.0;3.0;other;no;-1;False;False;False;0;False
89;81;retired;married;secondary;no;1.0;no;no;cellular;19.0;aug;65.0;5.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
90;81;retired;married;primary;no;122.0;no;no;telephone;23.0;apr;201.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
91;81;management;married;tertiary;no;0.0;no;no;cellular;7.0;jul;170.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
92;81;retired;married;primary;no;0.0;no;no;telephone;11.0;aug;198.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
93;81;retired;divorced;primary;no;4321.0;no;no;cellular;11.0;aug;163.0;3.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
94;81;retired;married;secondary;no;1.0;no;no;cellular;19.0;aug;65.0;5.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
95;81;retired;divorced;primary;no;519.0;no;no;telephone;9.0;sep;488.0;1.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
96;81;retired;divorced;primary;no;0.0;no;no;telephone;15.0;oct;172.0;1.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
97;81;retired;divorced;unknown;no;0.0;no;no;telephone;16.0;oct;128.0;1.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
98;81;retired;married;primary;no;243.0;no;no;cellular;27.0;oct;131.0;1.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
99;81;retired;divorced;unknown;no;9224.0;no;no;telephone;9.0;nov;235.0;2.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
100;81;retired;married;primary;no;5220.0;no;no;telephone;13.0;nov;135.0;1.0;94.0;2.0;other;yes;1;False;False;False;0;True
101;81;retired;married;secondary;no;93.0;no;no;cellular;7.0;dec;164.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
102;81;retired;divorced;secondary;no;452.0;no;no;telephone;16.0;dec;443.0;1.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
103;81;retired;divorced;tertiary;no;0.0;no;no;cellular;14.0;jan;357.0;1.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
104;81;retired;married;primary;no;243.0;no;no;cellular;27.0;jan;340.0;1.0;92.0;1.0;success;yes;1;False;False;False;1;True
105;81;retired;married;primary;no;1154.0;no;no;telephone;17.0;sep;231.0;1.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
106;81;retired;divorced;primary;no;949.0;no;no;cellular;27.0;sep;188.0;2.0;280.0;1.0;other;yes;-1;False;False;False;0;True
107;80;management;married;primary;no;6483.0;no;no;telephone;19.0;oct;123.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
108;80;retired;married;secondary;no;8304.0;no;no;telephone;9.0;jun;712.0;1.0;64.0;12.0;failure;yes;1;False;False;False;-1;True
109;80;retired;married;secondary;no;8304.0;no;no;telephone;6.0;apr;681.0;1.0;118.0;11.0;success;no;1;False;False;False;1;False
110;80;retired;married;secondary;no;462.0;no;no;cellular;7.0;dec;127.0;2.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
111;80;retired;married;primary;no;1548.0;no;no;cellular;6.0;aug;331.0;2.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
112;80;housemaid;married;primary;no;0.0;no;no;cellular;23.0;feb;639.0;1.0;189.0;1.0;failure;yes;1;False;False;False;-1;True
113;80;retired;married;primary;no;1021.0;no;no;telephone;26.0;feb;37.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
114;80;retired;married;primary;no;1861.0;no;no;telephone;14.0;apr;563.0;2.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
115;80;retired;married;tertiary;no;3669.0;no;no;cellular;30.0;jun;166.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
116;80;retired;married;primary;no;1548.0;no;no;cellular;6.0;aug;331.0;2.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
117;80;retired;married;primary;no;2994.0;no;no;cellular;6.0;aug;320.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
118;80;retired;married;unknown;no;355.0;no;no;telephone;10.0;aug;156.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
119;80;retired;married;secondary;no;1610.0;no;no;cellular;12.0;aug;71.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
120;80;retired;married;primary;no;2954.0;no;no;cellular;25.0;sep;144.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
121;80;retired;married;secondary;no;2.0;no;no;telephone;15.0;oct;442.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
122;80;management;married;primary;no;6483.0;no;no;telephone;19.0;oct;123.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
123;80;retired;married;secondary;no;87.0;no;no;telephone;27.0;oct;219.0;2.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
124;80;retired;married;primary;no;997.0;no;no;cellular;29.0;oct;746.0;2.0;86.0;1.0;other;yes;1;False;False;False;0;True
125;80;retired;married;secondary;no;462.0;no;no;cellular;7.0;dec;127.0;2.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
126;80;retired;married;primary;no;155.0;no;no;telephone;9.0;dec;343.0;2.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
127;80;retired;married;primary;no;1468.0;no;no;cellular;13.0;jan;330.0;3.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
128;80;retired;married;primary;no;997.0;no;no;cellular;28.0;jan;151.0;1.0;91.0;3.0;success;yes;1;False;False;False;1;True
129;80;retired;married;secondary;no;2354.0;no;no;telephone;4.0;feb;739.0;1.0;181.0;2.0;failure;yes;1;False;False;False;-1;True
130;80;housemaid;married;primary;no;0.0;no;no;cellular;23.0;feb;639.0;1.0;189.0;1.0;failure;yes;1;False;False;False;-1;True
131;80;retired;married;primary;no;155.0;no;no;telephone;12.0;mar;290.0;1.0;93.0;2.0;success;yes;1;False;False;False;1;True
132;80;retired;divorced;primary;no;235.0;no;no;cellular;31.0;mar;577.0;1.0;223.0;3.0;other;yes;-1;False;False;False;0;True
133;80;retired;married;secondary;no;8304.0;no;no;telephone;6.0;apr;681.0;1.0;118.0;11.0;success;no;1;False;False;False;1;False
140;80;retired;married;primary;no;1468.0;no;no;cellular;13.0;jul;256.0;2.0;181.0;3.0;success;no;1;False;False;False;1;False
141;80;retired;married;secondary;no;173.0;no;no;cellular;2.0;aug;87.0;3.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
142;80;retired;married;secondary;no;2354.0;no;no;telephone;4.0;aug;199.0;2.0;181.0;3.0;success;no;1;False;False;False;1;False
143;80;retired;married;secondary;no;8304.0;no;no;telephone;8.0;sep;606.0;3.0;91.0;13.0;success;yes;1;False;False;False;1;True
144;79;retired;married;secondary;no;4738.0;no;no;telephone;9.0;jul;151.0;5.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
145;79;retired;married;primary;no;8556.0;no;no;telephone;18.0;jan;326.0;2.0;272.0;2.0;success;yes;1;False;False;False;1;True
146;79;retired;married;primary;no;429.0;no;no;telephone;8.0;jul;1006.0;2.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
147;79;retired;divorced;unknown;no;2628.0;no;no;telephone;8.0;jul;220.0;7.0;450.0;2.0;failure;no;-1;False;False;False;-1;False
148;79;retired;married;secondary;no;8304.0;no;no;telephone;9.0;mar;303.0;9.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
149;79;retired;married;primary;no;3481.0;no;no;telephone;17.0;apr;82.0;4.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
150;79;retired;married;secondary;no;723.0;no;no;telephone;22.0;jun;295.0;3.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
151;79;retired;married;secondary;no;668.0;no;no;telephone;2.0;jul;363.0;1.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
152;79;retired;married;primary;no;429.0;no;no;telephone;8.0;jul;1006.0;2.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
153;79;retired;married;unknown;no;0.0;no;no;telephone;8.0;jul;167.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
154;79;retired;married;secondary;no;4738.0;no;no;telephone;9.0;jul;151.0;5.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
155;79;retired;married;secondary;no;2354.0;no;no;telephone;7.0;aug;121.0;2.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
156;79;housemaid;married;primary;no;0.0;no;no;cellular;18.0;aug;90.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
157;79;retired;married;secondary;no;723.0;no;no;telephone;9.0;sep;276.0;1.0;79.0;3.0;failure;yes;1;False;False;False;-1;True
158;79;retired;married;secondary;no;909.0;no;no;cellular;25.0;sep;114.0;1.0;95.0;1.0;other;no;1;False;False;False;0;False
159;79;retired;divorced;primary;no;79.0;no;no;cellular;9.0;oct;1106.0;2.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
160;79;retired;married;secondary;no;2661.0;no;no;cellular;10.0;nov;254.0;5.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
161;79;retired;married;secondary;no;8304.0;no;no;cellular;9.0;dec;456.0;2.0;275.0;9.0;success;yes;1;False;False;False;1;True
162;79;retired;married;primary;no;3025.0;no;no;cellular;11.0;dec;166.0;3.0;126.0;3.0;other;yes;1;False;False;False;0;True
163;79;retired;married;primary;no;8556.0;no;no;telephone;18.0;jan;326.0;2.0;272.0;2.0;success;yes;1;False;False;False;1;True
164;79;retired;divorced;secondary;no;631.0;no;no;telephone;8.0;feb;105.0;2.0;181.0;1.0;failure;no;-1;False;False;False;-1;False
165;79;retired;divorced;primary;no;1910.0;no;no;telephone;24.0;feb;98.0;2.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
166;79;retired;married;primary;no;3025.0;no;no;telephone;11.0;mar;184.0;1.0;90.0;6.0;success;no;1;False;False;False;1;False
167;79;retired;divorced;primary;no;20.0;no;no;cellular;29.0;apr;165.0;2.0;182.0;1.0;other;no;-1;False;False;False;0;False
168;79;retired;married;primary;no;1058.0;no;no;telephone;17.0;may;564.0;5.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
169;79;retired;divorced;unknown;no;2628.0;no;no;telephone;8.0;jul;220.0;7.0;450.0;2.0;failure;no;-1;False;False;False;-1;False
170;79;retired;divorced;primary;no;2787.0;no;no;telephone;13.0;jul;617.0;1.0;377.0;1.0;success;yes;-1;False;False;False;1;True
171;79;retired;divorced;secondary;no;631.0;no;no;telephone;9.0;aug;440.0;5.0;182.0;3.0;failure;no;-1;False;False;False;-1;False
172;79;retired;divorced;primary;no;336.0;no;no;cellular;6.0;oct;386.0;1.0;184.0;1.0;other;no;-1;False;False;False;0;False
173;78;retired;divorced;primary;no;229.0;no;no;telephone;22.0;oct;97.0;1.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
174;78;housemaid;married;secondary;no;499.0;no;no;telephone;16.0;mar;80.0;4.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
175;78;retired;married;tertiary;no;226.0;no;no;telephone;6.0;nov;136.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
176;78;retired;married;primary;no;158.0;no;no;cellular;18.0;feb;360.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
177;78;retired;married;primary;no;2735.0;no;no;telephone;26.0;feb;418.0;2.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
178;78;housemaid;married;secondary;no;499.0;no;no;telephone;16.0;mar;80.0;4.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
179;78;retired;divorced;unknown;no;2628.0;no;no;telephone;14.0;apr;129.0;2.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
180;78;unknown;married;unknown;no;2235.0;no;no;telephone;14.0;apr;300.0;3.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
181;78;retired;married;primary;no;240.0;no;no;cellular;20.0;apr;325.0;1.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
182;78;retired;married;primary;no;8556.0;no;no;telephone;21.0;apr;137.0;2.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
183;78;retired;divorced;tertiary;no;1016.0;no;no;cellular;22.0;jun;524.0;1.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
184;78;retired;divorced;primary;no;2787.0;no;no;telephone;1.0;jul;372.0;1.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
185;78;retired;married;secondary;no;220.0;no;no;cellular;4.0;aug;220.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
186;78;retired;divorced;secondary;no;631.0;no;no;telephone;11.0;aug;95.0;1.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
187;78;retired;married;primary;no;301.0;no;no;cellular;7.0;sep;537.0;2.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
188;78;retired;divorced;unknown;no;0.0;no;no;telephone;8.0;oct;259.0;1.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
189;78;retired;married;unknown;no;4807.0;no;no;telephone;22.0;oct;1002.0;4.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
190;78;retired;divorced;primary;no;229.0;no;no;telephone;22.0;oct;97.0;1.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
191;78;retired;divorced;primary;no;55.0;no;no;telephone;5.0;nov;143.0;3.0;90.0;1.0;other;no;-1;False;False;False;0;False
192;78;retired;married;tertiary;no;226.0;no;no;telephone;6.0;nov;136.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
193;78;retired;married;tertiary;no;1204.0;no;no;telephone;17.0;nov;135.0;1.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
194;78;retired;divorced;primary;no;4917.0;no;no;cellular;29.0;dec;195.0;2.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
195;78;retired;married;unknown;no;4807.0;no;no;telephone;3.0;feb;892.0;2.0;104.0;4.0;success;yes;1;False;False;False;1;True
196;78;retired;divorced;secondary;no;3219.0;no;no;cellular;24.0;feb;151.0;1.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
197;78;retired;divorced;primary;no;1389.0;no;no;cellular;8.0;apr;335.0;1.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
198;78;retired;married;primary;no;832.0;no;no;telephone;11.0;may;97.0;3.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
199;78;retired;divorced;secondary;no;3417.0;no;no;cellular;12.0;may;309.0;1.0;181.0;1.0;success;yes;-1;False;False;False;1;True
200;78;retired;married;unknown;no;3208.0;no;no;telephone;20.0;may;351.0;3.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
201;78;retired;married;primary;no;680.0;no;no;telephone;24.0;may;838.0;1.0;89.0;9.0;failure;no;1;False;False;False;-1;False
202;78;retired;married;unknown;no;38.0;no;no;telephone;4.0;aug;156.0;1.0;1.0;3.0;other;no;1;False;False;False;0;False
203;78;retired;divorced;primary;no;527.0;no;no;cellular;16.0;sep;193.0;1.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
204;78;management;married;unknown;no;1780.0;yes;no;cellular;25.0;oct;211.0;2.0;185.0;7.0;success;yes;1;False;True;False;1;True
