;Title;Number of review;Catagory;Reveiw Comment;Popular food;Online Order;n_Online Order
54;Obao Noodles & Bbq;111;Vietnamese;“Best cocktails”;filet mignon;Yes;1
55;Katherine;1,096;Italian;“The sushi and Ramen are particularly fabulous.”;Salmon;Yes;1
56;Izakaya MEW;242;Japanese, Sushi;"“... the various dishes: blistered peppers; patatas bravas; croquettes; ribs.”";bar;Yes;1
57;Tomino - Taberna Gallega;271;Spanish, Wine Bar;“Awesome first visit!!!!!”;lobster;Yes;1
58;Norma - Gastronomia Siciliana;459;Italian, Pizza;“My coq au vin had a tasty, moist chicken served with a delicate sauce with ve...”;gyoza;No;0
59;Amelie;298;French, European;“Enjoyed the dumplings, bulgogi, chicken, pork belly, and spare ribs.”;salad;No;0
60;Her Name Is Han;5;Asian, Korean;"“Great food ; good price”";bagels;No;0
61;KOBA Korean Bbq;5,663;Asian, Korean;“The filet mignon was just out of this world and cooked to absolute perfection.”;Mexican Food;No;0
62;Gallaghers Steakhouse;715;American, Steakhouse;“My son got the Salmon and he said it was delicious.”;sliders;No;0
63;Ocean Prime;1,233;American, Steakhouse;“we ordered and waited in bar area.”;No;No;0
64;Dinosaur Bar-B-Que;991;American, Bar;“Lunch in Chelsea, NYC”;No;No;0
65;Cull & Pistol;362;American, Seafood;“Especially the lobster and Caviar and t...”;No;No;0
66;Manhatta;20;American;“We also had pork and ginger gyoza.”;No;No;0
67;IZAKAYA E.A.K. Hell's Kitchen;205;Japanese, Asian;“... comes with a salad, an appetizer an...”;No;No;0
68;Thai Villa;345;Thai;“Most delicious dishes and very good...”;No;No;0
69;Hummus Place;492;Lebanese, Mediterranean;“The most perfect NY bagels with an asto...”;No;No;0
70;Brooklyn Bagel & Coffee Company;239;American, Cafe;“Great Place and Irish Breakfast”;No;No;0
71;Megan’s Bar & Kitchen;870;Irish, Bar;“Delicious Mexican Food Close to Theatre District”;No;No;0
72;El Centro;55;Mexican, Latin;“I had the sliders and a green salad with a tasty lemony vinaigrette.”;No;No;0
73;The Elgin;No;Pub, Gastropub;No;No;No;0
74;Hatsuhana Sushi Restaurant;425;Japanese, Sushi;“... notch, including the O-toro sashimi.”;sashimi;Yes;1
75;IL Melograno;331;Italian, Sicilian;“Octopus and tuna tartare were exceptional.”;Octopus;Yes;1
76;Russ & Daughters Cafe;693;American, Cafe;“They serve breakfast all day, including eggs, bagels, smoked fish, matzoh bal...”;bagels;Yes;1
77;Tony's Di Napoli - Midtown;6,522;Italian, Neapolitan;“... Tony’s and thank god they did!!! Pasta was delicious and the Tony’s chick...”;Pasta;Yes;1
78;John's Coffee Shop;266;American, Cafe;“We had French Toast, Waffles and scramb...”;French Toast;Yes;1
79;Gabriel Kreuther;761;French, Contemporary;“... and sturgeon tart, and my husband dreams about the hay-smoked duck.”;duck;Yes;1
80;KOBA Korean Bbq;5;Asian, Korean;"“Great food ; good price”";burger;Yes;1
81;Little Owl;1,257;American;“Special mention to the kale pesto pasta appetizer and the burger, which were...”;course tasting menu;Yes;1
82;The Capital Grille;951;American, Steakhouse;“Beautiful food and wine”;bass;Yes;1
83;Per Se;1,865;French;“We had the 9 course tasting menu and the 2 with Celiac had a slightly modifie...”;spaghetti;Yes;1
84;Le Bernardin;3,559;French;“... the 2nd category and the last with the likes of black bass and red snapper.”;pizza;Yes;1
85;L'Artusi;536;Italian, European;“The taste of spaghetti is deep and pleasant.”;lobster;Yes;1
86;Motorino;48;Italian, Pizza;“Delicious thin crust pizza”;Truffle;Yes;1
87;Nerai;685;Seafood, Mediterranean;“I ordered the Astakomakaronada which includes poached Maine lobster with squi...”;salad;Yes;1
88;Beyond Sushi;234;Healthy, American;“We very much enjoyed The Shiitake Truffle Dumplings and the Cauliflower Wings.”;Italian restaurant;Yes;1
89;Bareburger - Hell's Kitchen;1,530;American, Bar;“... green goddess dressing on the salad.”;cannoli;Yes;1
90;Orso;486;Italian;“A superb little Italian restaurant”;with some friends;Yes;1
91;Rubirosa;1,311;Italian, Pizza;“... the carbonara followed by the homemade cannoli and they were both delicious.”;vegetarian;Yes;1
92;Stone Bridge Pizza & Salad;41;Pizza, Italian;“Good, not typical NY slice”;lamb;Yes;1
93;Momosan Ramen & Sake;604;Japanese, Asian;“A wonderful place for a quick bite or even hangout with some friends.”;cheesecake;Yes;1
94;Via Della Pace;984;Italian, Pizza;“Good Italian in the Lower East Side”;chilli chicken;Yes;1
95;Dirt Candy;366;American;“Stunning vegetarian tasting menu”;octopus;Yes;1
96;Eileen's Special Cheesecake;2,115;American;“Special cheesecake”;Pizza;No;0
97;Keens Steakhouse;6,794;American, Steakhouse;“... the wonderful taste of the lamb.”;sashimi;No;0
98;Allora Fifth Ave;9;Italian, Mediterranean;“Good experience for dinner”;beef;No;0
99;Andrews Coffee Shop;2,362;American, Cafe;“The best cheesecake in newyork by far 😋”;Pizza;No;0
100;Gramercy Tavern;3,742;American;“A Must Visit”;spaghetti;No;0
101;Obao;1,215;Asian, Thai;“... really good and cashew chilli chicken for main can't fault it would defin...”;No;No;0
102;Pylos;406;Mediterranean, Greek;“The octopus is always cooked perfectly...”;No;No;0
103;Mermaid Oyster Bar;277;American, Bar;“Happy Hour Fanatics!”;No;No;0
104;The Marshal;323;American, Pizza;“Quite possibly the best Pizza I ever ate!”;No;No;0
105;Hatsuhana Sushi Restaurant;425;Japanese, Sushi;“... notch, including the O-toro sashimi.”;No;No;0
106;Black Iron Burger;1,023;American, Bar;“Organic range fed beef and truffle sauc...”;No;No;0
107;San Matteo Pizza Espresso Bar;383;Italian, Pizza;“Delicious Pizza”;No;No;0
108;Indian Accent;569;Indian;“1st class”;No;No;0
109;Rafele;1,252;Italian, Neapolitan;“... and chicken in breadcrumbs with spaghetti and a green salad, and we share...”;No;No;0
110;Katherine;111;Italian;“Best cocktails”;No;No;0
111;Benjamin Steakhouse;2,490;Seafood, Soups;“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”;ribeye;Yes;1
112;Emporio;587;Italian;“Welcome G-F-option restaurant near the...”;Paccheri;Yes;1
113;Aurora SoHo;400;Italian, Mediterranean;“... my collègue Paccheri squid ink and ...”;French toast;Yes;1
114;BG - Bergdorf Goodman;530;American;“Lovely Civilized Lunch”;Thai;Yes;1
115;Westway Diner;2,397;American;“French toast and pancakes both deliciou...”;Great atmosphere;Yes;1
116;Dos Caminos;893;Mexican, Latin;“The best guacamole”;oysters;Yes;1
117;Miss Mamie's Spoonbread Too;102;American, Caribbean;“Southern classics”;ramen;Yes;1
118;Bengal Tiger Indian Food;550;Indian;“Great Indian food”;gyoza;Yes;1
119;Up Thai;367;Asian, Thai;“If you’re looking for some delicious Thai food, I highly suggest that you che...”;Clam Chowder;Yes;1
120;Tanner Smith's;469;American, Bar;“Great atmosphere”;Red curry;Yes;1
121;Flex Mussels;344;Seafood;“We started with a dozen oysters then moved on to the mussels.”;Vegan;Yes;1
122;IPPUDO WESTSIDE (Midtown);1,335;Japanese, Asian;“Excellent ramen and buns!”;clams;Yes;1
123;IZAKAYA E.A.K. Hell's Kitchen;20;Japanese, Asian;“We also had pork and ginger gyoza.”;tuna;Yes;1
124;Pearl Oyster Bar;534;American, Seafood;“Oysters, Clam Chowder, Prawns, Muscles and of course the Lobster Rolls!!”;fried oysters;Yes;1
125;VIV Thai Restaurant and Bar;290;Asian, Thai;“Red curry was perfectly spiced and quit...”;scallops;Yes;1
126;54 Below;366;Asian, Korean;“You will certainly have a laugh!”;filet mignon;Yes;1
127;Hangawi;645;Italian;“Fantastic Vegan Eats in NYC”;Crab Cakes;Yes;1
128;Trattoria Trecolori;2,812;American;“As starters, we had drinks and shared a caprese salad and a platter of clams.”;fresh pasta;Yes;1
129;Brickyard craft kitchen & beer;432;French, Swiss;“Decent French Cuisine”;lasagna;No;0
130;Raclette;1,186;American, Deli;“We got one of the more modern bagels that was tuna and wasabi roe and the cla...”;Steak;No;0
131;Russ & Daughters;387;Seafood, American;“... soup and fried oysters stole the sh...”;Neapolitan;No;0
132;Blue Ribbon Brasserie;2,280;Seafood, Healthy;“We ordered the scallops with yuzu, toro...”;bar;No;0
133;Lobster Place;1,366;American, Steakhouse;“I had the filet mignon with the mashed potatoes and the cheesecake for dessert.”;bar;No;0
134;The Capital Grille;309;Seafood, Soups;“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”;Anniversary Dinner;No;0
135;Benjamin Steakhouse Prime;1,013;Italian;“Cozy and lovely restaurant with fresh pasta and bread.”;No;No;0
136;Il Corso;708;American, Contemporary;“If I could give it 6 stars …”;No;No;0
137;Blue Hill;706;American, Mediterranean;“Special Spot”;No;No;0
138;Gato;457;American;“They know what they are doing”;No;No;0
139;Market Table;376;Italian, Pizza;"“... a terrific meal, a ""flight"" of lasagna, four flavors served in individual...”";No;No;0
140;La Lanterna di Vittorio;591;American, Steakhouse;“Superb Steak, really delicious”;No;No;0
141;Royal 35 Steakhouse;1,174;Italian, Pizza;“Gluten free Neapolitan pizza”;No;No;0
142;Keste Pizza & Vino;1,015;American, Bar;“... to wait at the bar and the bar staf...”;No;No;0
143;Jacob's Pickles;480;Japanese, Asian;“Make a res and GO!”;No;No;0
144;Ivan Ramen;389;American, Bar;“Anniversary Dinner”;No;No;0
145;Hell's Kitchen;286;Italian;“Amazing variety”;No;No;0
146;Morton Williams - 57th St;111;Italian;“Best cocktails”;No;No;0
147;Katherine;No;Italian;No;No;No;0
148;David Burke Tavern;114;American, Steakhouse;“Highlights were the tuna tartare appetizer and the salmon entree.”;tuna;Yes;1
149;Ribalta Pizza;905;Italian, Pizza;“Very good pizza, but a Michelin mention?”;foie Gras;Yes;1
150;Raoul's;416;French;“... (A MUST!) and had soft shell crab special and foie Gras for main course.”;cold noodles;Yes;1
151;Ayza Wine & Chocolate Bar;584;Wine Bar;“Best experience”;truffle fries;Yes;1
152;O'Hara's Restaurant & Pub;1,473;American, Irish;“Banging chicken wings.”;Eggs Benedict;Yes;1
153;Momofuku Noodle Bar;1,473;Japanese, Asian;“Spicy cold noodles weren’t spicy at all.”;vegetarian;Yes;1
154;Motorino East Village;290;Italian, Pizza;“Excellent Pizza”;steak;Yes;1
155;Flex Mussels;259;American, Seafood;“We also shared a truffle fries .”;diner;Yes;1
156;Fiat Cafe;390;Italian, Cafe;“The service and friendly staff was a highlight…The Eggs Benedict were divine,...”;pasta;Yes;1
157;Jimmy's Corner;531;Pub;“Cheap and very cheerful”;bagels;Yes;1
158;Veselka;1,063;Soups, Eastern European;“The vegetarian stuffed cabbage I would pass next time.”;Tuna;Yes;1
159;STATE Grill and Bar;351;American, Grill;“Popped in for a steak ahead of going up the Empire State Building.”;lobster;Yes;1
160;Sichuan Hot Pot Cuisine;87;Chinese, Seafood;“Great spot in Chinatown!”;carbonara;Yes;1
161;Times Square Diner;2,409;American, Diner;“... a theater workshop and an afternoon Broadway show - this diner was perfect!”;bagels;Yes;1
162;Burger & Lobster;1,100;American, Seafood;“Tasty Burgers with Lobsters”;ribeye;Yes;1
163;Masseria Dei Vini;604;Italian, Mediterranean;“It was on my friend’s radar since it offered gluten-free pasta.”;lobster bisque;Yes;1
164;Stage Door Deli;539;American, Pizza;“Best bagels ever”;pancakes;Yes;1
165;Hillstone;654;American, Bar;“... Dip, my husband had the Spicy Tuna roll which he said was outstanding.”;Chili;Yes;1
166;Ledo Pizza;13;Italian, Pizza;“Maryland’s Best in NYC”;salmon;Yes;1
167;The Landmark Tavern;387;European, Central American;“Great desserts”;Crab Cakes;Yes;1
168;Dudley's;301;American, Bar;“Wonderful Food & Service”;salad;Yes;1
169;Jean Georges;1,963;French;“... replaced the rack of lamb for a lobster dish which she loved, I had the L...”;Pasta dishes;Yes;1
170;Uncle Paul's Pizza;840;Italian, Pizza;“I had the lasagna, my husband had the carbonara, and my son the Pesto gnocchi...”;feijoada;No;0
171;Baz Bagel and Restaurant;293;American, Cafe;“Baz Bagel offers great bagels and very tasty smoothies.”;wings;No;0
172;Ben & Jack's Steakhouse;87;Bar, American;“The bartender/server suggested the ribeye as well as the special mashed potat...”;clam chowder;No;0
173;Sea Fire Grill;1,137;Steakhouse, Bar;“The lobster bisque was velvety and luscious.”;fries;No;0
174;New York Luncheonette;1,167;American, Diner;“The pancakes are amazing as is the Fren...”;No;No;0
175;Red Farm;683;Chinese, Asian;“Three Chili Chicken was perfectly spiced.”;No;No;0
176;Gotham Restaurant;1,762;American, Bar;“Followed by the Atlantic Char which I’d never had before it was like salmon o...”;No;No;0
177;John's of Bleecker Street;1,854;Italian, Pizza;“Wow”;No;No;0
178;Benjamin Steakhouse Prime;309;Seafood, Soups;“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”;No;No;0
179;The Meatball Shop - Hell's Kitchen;1,104;Contemporary;“... meatballs with warm spicy sauce for me an a nice salad with chicken for her.”;No;No;0
180;Etcetera Etcetera;568;Mediterranean, Italian;“The Pasta dishes were outstanding.”;No;No;0
181;Via Brasil Restaurant;479;Brazilian, Latin;“... for great feijoada and capirinhas, ...”;No;No;0
182;Sean's Bar And Kitchen;438;American, Irish;“... didn’t want a huge meal so decided to have wings and fries with our drinks.”;No;No;0
183;The Capital Grille;402;American, Steakhouse;“... steak, grilled asparagus and clam chowder all of which were exceptional.”;No;No;0
184;All Stars Sports Bar & Grill;21;Bar, Pub;“The fries were terrific also, hot crisp...”;No;No;0
185;The Marshal;323;American, Pizza;“Quite possibly the best Pizza I ever ate!”;Pizza;Yes;1
186;Nocello;441;Italian;“... roasted lobster and scampi in red s...”;lobster;Yes;1
187;Mastro's Steakhouse;688;American, Steakhouse;“My kids all had the filet mignon.”;filet mignon;Yes;1
188;Cuba;475;Caribbean, Latin;“We had the salmon dish which was wonderful and a paella.”;salmon;Yes;1
189;Monte's Trattoria;539;Italian;“My wife had the chicken parmigiana and loved it.”;chicken parmigiana;Yes;1
190;Delmonico's;1,024;American, Steakhouse;“I had their eggs Benedict and they were...”;Benedict;Yes;1
191;Brooklyn Chop House - Times Square;3;Chinese, Steakhouse;“Worth the price”;salad;Yes;1
192;Blue Dog Cookhouse & Bar;479;American, Bar;“My wife and I shared a salad which was just OK for a salad, and my wife order...”;salad;Yes;1
193;PRINT.;992;American;“Very Good Farm to Table Cooking”;Farm to Table;Yes;1
194;Capizzi;1,791;Italian, Pizza;“The cannoli was just beyond amazing and I know tomorrow I’m going to be wishi...”;cannoli;Yes;1
195;Whiskey Tavern;181;American, Bar;“Great Friday night while visiting NY”;sashimi;Yes;1
196;Momoya Chelsea;250;Japanese, Sushi;“Delicious sushi & sashimi!”;lamb;Yes;1
197;Casa Soglia;1 review;Italian, Mediterranean;“Can't Miss”;pasta dishes;Yes;1
198;The Dead Rabbit;1,374;Irish, Bar;“High quality inventive ramen. Enjoy!”;salad;Yes;1
199;Hakata Ippudo NY;620;Japanese, Asian;“... which was excellent and fun- matched with the duck, the lamb and the ragu.”;tuna;Yes;1
200;Union Square Cafe;1,377;American;“Both the pasta dishes my husband and I ate were fantastic and my son’s filet...”;burger;Yes;1
201;Da Andrea Ristorante;355;Italian, Pizza;“... that had a salad, s’mores, veggies ...”;Sandwiches;Yes;1
202;Gyu-Kaku Japanese BBQ;419;Japanese, Barbecue;“Highlights were the tuna tartare appetizer and the salmon entree.”;salmon;Yes;1
203;David Burke Tavern;114;American, Steakhouse;“... was super.The main course burger was extremely filling especially with it...”;cannoli;Yes;1
204;The Polo Bar;654;American;“Sandwiches are great, especially hot pastrami, even matzo ball soup is flavor...”;halibut;Yes;1
205;Barney Greengrass;567;Eastern European, Israeli;“Had the everything bagel with salmon an...”;Mediterranean food;Yes;1
206;Leo's Bagels;400;American, Fast Food;“Dessert was a large cannoli with white chocolate filling.”;Dim Sum;No;0
207;pizzArte;1,392;Italian, Pizza;“Tommylicious”;rice;No;0
208;Tommy Bahama Restaurant & Bar;512;American, Bar;“Good experience for dinner”;crab cakes;No;0
209;Allora Fifth Ave;9;Italian, Mediterranean;“Delicious noodles”;Astice;No;0
210;Saigon Shack;277;Asian, Vietnamese;“Great place”;goat cheese salad;No;0
211;Rainbow Room;699;American, Contemporary;"“Large menu with lots of interesting choices; Malai halibut very good (overpri...”";No;No;0
212;Tamarind - Tribeca;753;Indian;“Nice Meal. Ko has “slightly” lost the...”;No;No;0
213;Momofuku Ko;418;Asian, International;“Extraordinary Mediterranean food at an affordable price”;No;No;0
214;Boulud Sud;932;Mediterranean;“Perfect Picnic did a wonderful job...”;No;No;0
215;Perfect Picnic;49;Italian, American;“Dim Sum for beginners”;No;No;0
216;Shanghai 21;391;Chinese, Asian;“The bowl was steaming hot and the hot stone kept the rice and meat dish hot t...”;No;No;0
217;Barn Joo 35;251;Asian, Korean;“The meal was excellent, I had crab cakes and the rib eye steak and my wife ha...”;No;No;0
218;West Side Steakhouse;1,105;American, Steakhouse;“Our next course we chose Astice (Lobste...”;No;No;0
219;Marea;2,364;Italian, American;“We had clam chowder, goat cheese salad and duck cassoulet.”;No;No;0
220;Bistro Les Amis;385;French, European;"“Great food ; good price”";No;No;0
221;KOBA Korean Bbq;5;Asian, Korean;No;No;No;0
222;Royal 35 Steakhouse;591;American, Steakhouse;“Superb Steak, really delicious”;Steak;Yes;1
223;La Grenouille;919;French;“We started with a shaved smoked salmon...”;salmon;Yes;1
224;Clinton St. Baking Company & Restaurant;1,513;American, Cafe;“One of the best eggs benedict”;eggs benedict;Yes;1
225;Mighty Quinn's Barbeque;667;American, Southwestern;“Delicious Food!”;trout;Yes;1
226;Cookshop;1,123;American;“... as well as drinks and ordered a pizza, two salads, and the trout to share.”;Crab Cakes;Yes;1
227;Benjamin Steakhouse Prime;309;Seafood, Soups;“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”;carbonara;Yes;1
228;Lupa Osteria Romana;983;Italian, Romana;“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”;salad;Yes;1
229;5 Napkin Burger;4,358;American, Contemporary;“... every way, cooked exactly as I requested and the salad was also very good.”;pizza;Yes;1
230;Artichoke Basille's Pizza;718;Italian, American;“Sensational pizza!”;filet mignon;Yes;1
231;Robert;1,675;American, European;“Then we had the filet mignon and finished off the repast with the trio desser...”;beef;Yes;1
232;Tasty Hand Pulled Noodles;411;Chinese, Asian;"“We had a beef noodle soup and a chicken w vegetables wok dish; both were outs...”";bagels;Yes;1
233;Pure & Fresh;248;American;“Walk in and create what you want”;French Toast;Yes;1
234;Rico Bagel;3;American, Cafe;“One of the best bagels in the city!”;hummus;Yes;1
235;The Bluebell Cafe;276;American, Cafe;“The French Toast was to die for.”;oysters;Yes;1
236;Cafe Mogador;567;Moroccan, Mediterranean;“Amazing traditional hummus.”;Curry;Yes;1
237;Osteria Morini;757;Italian;“Excellent Italian Sunday Brunch”;jambalaya;Yes;1
238;Crave Fishbar;459;American, Seafood;“Sustainable delicious food and friendly staff Different selections of oysters...”;salad;Yes;1
239;Franchia Vegan Cafe;403;Sushi, Asian;“Ordered lunch special ( Drunken Basil Noodles & Vegetable Curry Hot Pot) that...”;pancakes;Yes;1
240;Allora Fifth Ave;9;Italian, Mediterranean;“Good experience for dinner”;pancakes;Yes;1
241;Birdland;368;American, Bar;“The entree of chicken and andouille sausage jambalaya was a little disappoint...”;Breakfast Sandwich;Yes;1
242;The Mean Fiddler;1,153;Irish, Bar;“Wondering experience at one of our go to...”;tapas;Yes;1
243;Victor's Cafe;1,650;Latin, Spanish;“Our salad (Ensalada de Palmitos y Mandarin orange, $15) also was large and fl...”;rice;Yes;1
244;Murray Hill Diner;678;American, Diner;“We had chocolate chip pancakes, waffle and lumberjack pancakes.”;Gluten Free;No;0
245;Little Ruby's Cafe;349;American, Cafe;“... with Spicy Sausage Breakfast Sandwich.”;black beans;No;0
246;Utsav Restaurant;627;Indian, Chinese;“Great food but very chaotic atmosphere”;Sushi;No;0
247;Boqueria Soho;653;Spanish;“Superb lively tapas bar.”;Kimchi;No;0
248;Sakagura;506;Japanese, Asian;“The sashimi was excellent and the toro rice with uni even better.”;No;No;0
249;The Paris Cafe;345;Bar, French;“I never write  ! Do not miss this...”;No;No;0
250;OCabanon;385;French, European;“Great quiet place to meet friends and/or...”;No;No;0
251;Senza Gluten;483;Italian;“Gluten Free Heaven!!”;No;No;0
252;Tangy Noodle;3;Chinese, Asian;“Great quality for the price!”;No;No;0
253;Peacefood Cafe;345;American, Cafe;“Come for the Desserts - Enjoy a meal first”;No;No;0
254;Cafe Habana;766;Mexican, Caribbean;“The burrito was stuffed with rice and black beans then pressed and toasted pa...”;No;No;0
255;An'nam;303;Japanese, Sushi;“Hidden Gem Sushi”;No;No;0
256;99 Cent Fresh Pizza;323;Pizza, Fast Food;“Best dollar slice pizza”;No;No;0
257;Danji;511;Asian, Korean;“I have to avoid the spicy wings and Kimchi fried rice because they are too sp...”;No;No;0
258;Ledo Pizza;13;Italian, Pizza;“Maryland’s Best in NYC”;No;No;0
259;Benjamin Steakhouse Prime;309;Seafood, Soups;“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”;Crab Cakes;Yes;1
260;Kung Fu Little Steamed Buns Ramen;459;Chinese, Asian;“The xiao long bao were AMAZING, as were the duck buns and the pan fried dumpl...”;duck;Yes;1
261;Bubby's;1,612;Bar, Barbecue;“Huevos rancheros was delcious only small gripe was it was not hot, bordering...”;Huevos rancheros;Yes;1
262;Avra Midtown;1,151;Seafood, Mediterranean;“Large menu has something for everyone…assorted Greek and Mediterranean appeti...”;Greek;Yes;1
263;Black Tap;852;American, Bar;“... American as well as the wagyu burger!”;burger;Yes;1
264;Estiatorio Milos - Midtown New York;1,584;Seafood, Mediterranean;“The tuna was fresh and simple with olive oil and lemon and that’s all it need...”;tuna;Yes;1
265;Salumeria Rosi;400;Italian, Pizza;“Food was quite good and the cheese and meats were an ideal meal with salad.”;salad;Yes;1
266;Dutch Fred's;301;American, Bar;“We started with wings, quacamole, flatbread pizza and their bang bang shrimp.”;wings;Yes;1
