country_name,country_code,series,series_code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
France,FRA,Theoretical duration of pre-primary education (years),UIS.THDUR.02,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Euro area,EMU,"Gross enrolment ratio, pre-primary, adjusted gender parity index (GPIA)",UIS.GER.02.GPIA,1.00212,1.00336,1.00078,0.99802,0.98761,0.98389,0.99119,0.98961,0.99068,0.99277,0.99364,0.99389,0.99309,0.99306,0.99085,0.99027,0.99082,0.99162,0.99118,0.99073,0.99101,0.99172,0.99362,0.99347,0.99491,0.99371,0.99371,0.99345
Euro area,EMU,"Gross enrolment ratio, pre-primary, both sexes (%)",SE.PRE.ENRR,87.69844,88.18413,89.21695,90.29264,89.64938,91.52994,92.91023,93.55174,93.96761,94.75202,95.55717,96.32438,97.34228,97.9931,99.46769,99.58369,99.46548,99.56991,99.59983,99.92713,100.17159,100.32783,100.65503,100.02206,100.11851,100.45939,99.94456,100.20563
Euro area,EMU,"Gross enrolment ratio, pre-primary, female (%)",SE.PRE.ENRR.FE,87.79407,88.33644,89.25246,90.2011,89.07641,90.76781,92.48854,93.05077,93.51641,94.39928,95.24459,96.02183,96.99622,97.64296,98.99911,99.08447,98.99553,99.1401,99.14742,99.44998,99.70768,99.89973,100.32431,99.6859,99.85613,100.13396,99.6209,99.86781
Euro area,EMU,"Gross enrolment ratio, pre-primary, male (%)",SE.PRE.ENRR.MA,87.60759,88.03944,89.18321,90.37963,90.19386,92.25422,93.31092,94.02773,94.39654,95.08722,95.85405,96.61168,97.67084,98.32561,99.91301,100.05835,99.91227,99.97809,100.02949,100.3801,100.61198,100.73409,100.96861,100.34085,100.36748,100.76796,100.25134,100.52593
Euro area,EMU,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,35.68838,36.00739,35.99122,35.79342,35.34742,34.98264,33.37664,33.05519,33.11796,32.9753,32.63791,32.72775,33.41386,33.08749,33.07792,33.15959,33.61837,33.626,33.34427,33.56767,33.27422,33.3637,33.34513,33.19074,33.20322,33.61313,34.20305,34.44714
Euro area,EMU,"School life expectancy, pre-primary, both sexes (years)",UIS.SLE.02,2.58783,2.60794,2.63718,2.67417,2.65413,2.70711,2.74414,2.76279,2.77216,2.79921,2.81871,2.84259,2.87055,2.8887,2.93252,2.93563,2.93251,2.93812,2.9421,2.95444,2.96606,2.97007,2.98012,2.9649,2.96852,2.98272,2.99061,3.00263
Euro area,EMU,"School life expectancy, pre-primary, female (years)",UIS.SLE.02.F,2.59083,2.61261,2.6386,2.67182,2.63777,2.68512,2.73232,2.74869,2.76015,2.78978,2.81019,2.83507,2.86136,2.87966,2.92083,2.92319,2.9212,2.92765,2.93062,2.94195,2.9534,2.95782,2.97049,2.95463,2.96144,2.97337,2.98152,2.99325
Euro area,EMU,"School life expectancy, pre-primary, gender parity index (GPI)",UIS.SLE.02.GPI,1.00227,1.00351,1.00106,0.99829,0.98806,0.98428,0.99163,0.9901,0.99158,0.99345,0.99412,0.99485,0.99377,0.99392,0.99225,0.99177,0.99251,0.99307,0.99242,0.9918,0.99172,0.992,0.99372,0.99328,0.99534,0.99391,0.9941,0.99393
Euro area,EMU,"School life expectancy, pre-primary, male (years)",UIS.SLE.02.M,2.58495,2.60348,2.63582,2.67639,2.66966,2.728,2.75537,2.77619,2.78359,2.80819,2.8268,2.84976,2.87929,2.89729,2.94363,2.94746,2.94325,2.94807,2.95299,2.96628,2.97806,2.98169,2.98926,2.97463,2.9753,2.9916,2.99923,3.01152
