series,series_code,country_name,country_code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Gross enrolment ratio, secondary, male (%)",SE.SEC.ENRR.MA,Europe & Central Asia,ECS,91.17357,91.16045,92.96326,94.05561,94.46281,94.27359,94.06759,93.59016,94.51934,95.29523,99.0476,96.62456,96.17645,96.42653,96.78777,96.92599,96.38964,98.2804,104.73361,104.83762,105.1312,106.08815,105.54059,105.6243
"Gross enrolment ratio, secondary, male (%)",SE.SEC.ENRR.MA,Europe & Central Asia (IDA & IBRD countries),TEC,89.18519,87.7597,87.14498,86.18417,86.65218,86.47431,86.78573,87.91491,89.53229,90.16591,95.17257,91.4641,89.39734,90.13536,90.90902,90.6081,89.17904,91.22279,99.3217,99.43189,99.84866,101.15128,100.74322,100.91973
"Gross enrolment ratio, secondary, male (%)",SE.SEC.ENRR.MA,Central Europe and the Baltics,CEB,88.21035,85.31334,86.82506,86.85299,86.32199,87.53415,88.65435,87.95939,89.61472,91.35915,95.99419,92.16231,93.71436,94.14768,94.81955,95.60959,95.65502,96.63559,102.90968,102.44402,102.16023,102.29705,102.17159,102.17792
"Gross enrolment ratio, secondary, male (%)",SE.SEC.ENRR.MA,East Asia & Pacific,EAS,49.50269,51.60612,53.70069,54.72298,57.6656,60.99756,61.44567,63.84655,64.19829,63.94875,65.8529,67.58776,68.84811,71.49982,75.78047,78.50792,81.14605,83.68797,83.82772,83.91569,83.17947,83.70622,84.4536,84.9488
"Gross enrolment ratio, secondary, male (%)",SE.SEC.ENRR.MA,Euro area,EMU,94.92391,96.98095,100.77022,104.97975,105.45375,105.43275,105.1007,101.94412,101.3965,102.40652,104.74142,104.02469,105.96519,106.5803,106.27587,106.69836,107.12424,108.42608,108.33327,108.52007,108.45831,108.84341,108.85832,108.8586
"Gross enrolment ratio, secondary, male (%)",SE.SEC.ENRR.MA,Middle East & North Africa (excluding high income),MNA,63.93661,62.71918,63.77046,66.37157,65.9524,65.89228,67.15187,68.491,69.77076,70.66457,73.09454,74.03698,73.37883,73.15789,71.26844,72.42679,73.89976,74.36938,77.01819,77.80773,78.6958,79.1637,79.45058,80.02559
"Gross enrolment ratio, secondary, male (%)",SE.SEC.ENRR.MA,North America,NAC,91.7773,94.5828,97.3834,98.97825,96.87614,97.38748,96.62889,95.79687,93.80915,94.04417,95.56959,94.90141,94.95051,95.6397,95.42229,95.85313,95.35628,95.14933,97.48661,98.26851,100.14047,100.3803,100.90848,100.87162
"Gross enrolment ratio, secondary, male (%)",SE.SEC.ENRR.MA,OECD members,OED,86.03941,87.63685,90.38595,92.80857,93.05953,93.78033,90.66632,93.25834,93.44649,94.15053,97.64502,96.75033,97.24556,97.70939,97.76483,97.94445,97.25914,98.34608,103.6645,104.34793,105.00278,105.96977,105.33717,104.33984
"Gross enrolment ratio, secondary, gender parity index (GPI)",SE.ENR.SECO.FM.ZS,Latin America & Caribbean,LCN,1.0695,1.0661,1.06799,1.06822,1.069,1.06086,1.0638,1.06507,1.05995,1.06524,1.07569,1.07175,1.07344,1.07487,1.08941,1.09385,1.09055,1.08178,1.06472,1.05478,1.0502,1.04293,1.04474,1.04459
"Gross enrolment ratio, secondary, gender parity index (GPI)",SE.ENR.SECO.FM.ZS,Europe & Central Asia,ECS,0.99203,0.99435,0.99037,0.98812,0.98828,0.99099,0.99049,0.98798,0.98547,0.98589,0.97669,0.97979,0.98058,0.98224,0.98309,0.98565,0.98639,0.98391,0.9931,0.99292,0.99345,0.98721,0.99078,0.99152
"Gross enrolment ratio, secondary, gender parity index (GPI)",SE.ENR.SECO.FM.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,0.9727,0.97363,0.96978,0.9731,0.97155,0.97364,0.97535,0.96987,0.96424,0.96713,0.9486,0.95624,0.9578,0.96206,0.96363,0.96856,0.97595,0.97336,0.98131,0.98265,0.9843,0.97595,0.98198,0.98296
"Gross enrolment ratio, secondary, gender parity index (GPI)",SE.ENR.SECO.FM.ZS,Central Europe and the Baltics,CEB,1.01003,1.02199,1.0145,1.01767,1.02429,1.02013,1.01402,1.01478,1.01108,1.00444,0.99265,1.00823,1.00174,0.99823,0.99752,0.99837,0.99928,0.99562,0.9856,0.98846,0.98813,0.99148,0.99159,0.99064
"Gross enrolment ratio, secondary, gender parity index (GPI)",SE.ENR.SECO.FM.ZS,East Asia & Pacific,EAS,0.8375,0.85123,0.85783,0.88668,0.90014,0.91143,0.91377,0.93094,0.94498,0.95147,0.96209,0.9734,0.98441,0.99437,0.99976,1.00546,1.01321,0.99701,1.01131,1.01146,1.01531,1.0159,1.01926,1.01902
"Gross enrolment ratio, secondary, gender parity index (GPI)",SE.ENR.SECO.FM.ZS,Euro area,EMU,1.01412,1.01665,1.01516,1.00522,1.00661,1.01021,1.00552,1.00425,1.00588,1.00295,1.00363,1.00507,1.00425,1.00222,1.00357,1.00352,0.99574,0.9938,0.99512,0.99448,0.99499,0.99144,0.99445,0.9955
"Gross enrolment ratio, secondary, gender parity index (GPI)",SE.ENR.SECO.FM.ZS,Middle East & North Africa (excluding high income),MNA,0.75831,0.77875,0.79531,0.80565,0.8303,0.84267,0.85963,0.87503,0.89131,0.90136,0.92019,0.92692,0.9353,0.94307,0.95646,0.94617,0.94314,0.94311,0.94509,0.94536,0.94893,0.95006,0.95393,0.95694
"Gross enrolment ratio, secondary, gender parity index (GPI)",SE.ENR.SECO.FM.ZS,North America,NAC,1.01592,1.00597,0.99786,0.9928,1.0131,1.00034,1.01572,1.03286,1.02908,1.01611,1.00172,1.01708,1.01458,0.99404,1.0059,0.99569,1.01181,1.00818,1.01123,1.0102,0.996,0.99652,0.99239,0.99291
"Gross enrolment ratio, secondary, gender parity index (GPI)",SE.ENR.SECO.FM.ZS,OECD members,OED,0.99138,0.9897,0.98654,0.98231,0.9875,0.98417,0.98893,0.99563,0.99534,0.99498,0.99255,0.99982,1.0031,0.99852,1.00298,1.00355,1.00773,1.00514,1.00801,1.00787,1.00553,1.0023,1.007,1.00779
"Gross enrolment ratio, secondary, female (%)",SE.SEC.ENRR.FE,Latin America & Caribbean,LCN,79.82624,80.27761,80.2471,80.86831,81.83986,82.87155,83.72259,85.31715,86.366,88.01667,88.39095,89.52946,89.91896,89.75555,89.83634,91.31512,92.01772,92.97489,97.17595,97.17894,97.96004,97.8388,99.74361,100.11475
"Gross enrolment ratio, secondary, female (%)",SE.SEC.ENRR.FE,Europe & Central Asia,ECS,90.44663,90.64539,92.06818,92.93825,93.35568,93.42381,93.17316,92.46483,93.14617,93.95051,96.73882,94.67167,94.30884,94.71363,95.15065,95.53505,95.07758,96.69872,104.01101,104.0955,104.44222,104.7312,104.56764,104.72817
"Gross enrolment ratio, secondary, female (%)",SE.SEC.ENRR.FE,Europe & Central Asia (IDA & IBRD countries),TEC,86.75004,85.44567,84.51154,83.86552,84.18668,84.19478,84.64613,85.26568,86.3303,87.20235,90.2809,87.46186,85.62509,86.71522,87.60231,87.75957,87.03463,88.79265,97.46544,97.70625,98.28085,98.71868,98.92832,99.19978
"Gross enrolment ratio, secondary, female (%)",SE.SEC.ENRR.FE,Central Europe and the Baltics,CEB,89.09474,87.18906,88.084,88.38798,88.4184,89.29613,89.89734,89.25902,90.60776,91.76449,95.28908,92.92051,93.8773,93.98109,94.58464,95.4542,95.58637,96.21201,101.42747,101.26196,100.94799,101.42535,101.31185,101.22117
"Gross enrolment ratio, secondary, female (%)",SE.SEC.ENRR.FE,East Asia & Pacific,EAS,41.45854,43.92848,46.06599,48.52162,51.90703,55.59509,56.14723,59.43751,60.66578,60.84536,63.35643,65.78965,67.77489,71.0971,75.7621,78.93668,82.21787,83.4375,84.77578,84.8772,84.45308,85.03733,86.08038,86.56417
"Gross enrolment ratio, secondary, female (%)",SE.SEC.ENRR.FE,Euro area,EMU,96.26394,98.59582,102.29756,105.52802,106.15057,106.5092,105.68049,102.37787,101.9924,102.70902,105.12186,104.55217,106.41607,106.8166,106.6556,107.07381,106.66742,107.7536,107.80439,107.92157,107.91525,107.91209,108.25415,108.36873
"Gross enrolment ratio, secondary, female (%)",SE.SEC.ENRR.FE,Middle East & North Africa (excluding high income),MNA,48.48392,48.84235,50.71728,53.47229,54.76017,55.52569,57.72609,59.93172,62.18735,63.69396,67.26117,68.62607,68.63137,68.9933,68.16572,68.52784,69.69777,70.13833,72.78942,73.55652,74.67651,75.20989,75.79043,76.57968
"Gross enrolment ratio, secondary, female (%)",SE.SEC.ENRR.FE,North America,NAC,93.23834,95.1472,97.17456,98.26531,98.14497,97.42078,98.14755,98.94439,96.5369,95.55881,95.73429,96.52255,96.33453,95.06971,95.98559,95.43962,96.4828,95.92801,98.5818,99.2706,99.73986,100.03088,100.14038,100.15692
"Gross enrolment ratio, secondary, female (%)",SE.SEC.ENRR.FE,OECD members,OED,85.29785,86.73462,89.16914,91.16668,91.89646,92.29549,89.66295,92.85095,93.01125,93.67836,96.91729,96.73302,97.54681,97.56431,98.05664,98.29255,98.01105,98.85129,104.4952,105.16938,105.58376,106.21377,106.07442,105.15247
"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,Latin America & Caribbean,LCN,77.2135,77.77008,77.67302,78.26542,79.1766,80.47356,81.18752,82.68328,83.90197,85.28891,85.24071,86.49435,86.80454,86.59521,86.08532,87.32305,88.1251,89.39922,94.15768,94.60751,95.57336,95.78861,97.56992,97.94031
"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,Europe & Central Asia,ECS,90.817,90.90772,92.524,93.50733,93.91969,93.85688,93.62905,93.03858,93.84662,94.63657,97.91787,95.66922,95.26323,95.58943,95.98796,96.24686,95.74924,97.50881,104.38144,104.47608,104.7957,105.42761,105.06707,105.18827
"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,Europe & Central Asia (IDA & IBRD countries),TEC,87.98633,86.62023,85.84831,85.04283,85.43902,85.35329,85.73399,86.61334,87.9599,88.71085,92.77375,89.50176,87.54878,88.46086,89.29103,89.21557,88.13118,90.03612,98.41598,98.59013,99.0841,99.96542,99.85872,100.08178
"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,Central Europe and the Baltics,CEB,88.64238,86.22961,87.43997,87.60261,87.34559,88.39426,89.26119,88.5939,90.09952,91.55703,95.64991,92.53244,93.79388,94.06641,94.705,95.53384,95.62157,96.42927,102.18823,101.86867,101.57018,101.87258,101.75272,101.71155
"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,East Asia & Pacific,EAS,45.58158,47.86276,49.97711,51.69776,54.85597,58.36153,58.86079,61.69653,62.47682,62.43759,64.64068,66.71591,68.32871,71.30537,75.77162,78.71408,81.66036,83.568,84.27966,84.37353,83.78521,84.33863,85.22569,85.7146
"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,Euro area,EMU,95.57855,97.76992,101.51643,105.24758,105.79407,105.95837,105.38384,102.15593,101.68731,102.55414,104.92707,104.28203,106.18515,106.6956,106.46107,106.88138,106.90164,108.0985,108.07602,108.22916,108.19456,108.39142,108.56523,108.62106
"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,Middle East & North Africa (excluding high income),MNA,56.3946,55.949,57.40402,60.07977,60.48977,60.82674,62.53987,64.29907,66.05472,67.24881,70.23992,71.39074,71.05794,71.12196,69.75067,70.5184,71.8425,72.29813,74.95031,75.73016,76.73283,77.23367,77.6646,78.34471
"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,North America,NAC,92.48917,94.85808,97.28154,98.63065,97.49452,97.40371,97.36967,97.33223,95.13514,94.78046,95.64973,95.69052,95.62438,95.36221,95.69656,95.65177,95.90501,95.52877,98.02135,98.75832,99.94458,100.20938,100.53256,100.52193
"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,OECD members,OED,85.6759,87.1944,89.78908,92.00315,92.48909,93.05228,90.1745,93.05876,93.2336,93.91969,97.28926,96.74187,97.39278,97.63852,97.9073,98.11434,97.62608,98.59261,104.07021,104.74915,105.28648,106.08889,105.69707,104.73639
"Gross enrolment ratio, primary, male (%)",SE.PRM.ENRR.MA,Latin America & Caribbean,LCN,113.9827,114.73152,115.39602,116.26941,123.03684,123.40046,117.17834,124.67344,123.70595,120.4487,119.12461,117.82054,117.75779,117.11169,116.97702,117.66148,117.48885,116.67292,111.12839,110.08034,109.68768,109.88288,109.54391,110.21402
"Gross enrolment ratio, primary, male (%)",SE.PRM.ENRR.MA,Europe & Central Asia,ECS,104.94193,104.27851,104.06948,103.86246,103.61208,103.52855,103.1077,103.90561,103.86991,103.71075,103.81455,103.14885,102.30152,101.82837,101.85838,102.16621,101.7483,101.89876,102.02602,101.30601,101.23605,100.83183,101.0855,100.97133
"Gross enrolment ratio, primary, male (%)",SE.PRM.ENRR.MA,Europe & Central Asia (IDA & IBRD countries),TEC,106.98503,106.42147,105.61172,104.86619,104.16292,103.65284,103.37843,103.6778,103.85901,103.66989,105.12998,103.1423,100.7371,99.69471,99.73753,99.82349,99.43899,99.9734,101.26147,99.74213,99.87501,98.5239,99.17729,99.01722
"Gross enrolment ratio, primary, male (%)",SE.PRM.ENRR.MA,Central Europe and the Baltics,CEB,94.77789,95.49238,96.97772,97.83653,97.95073,98.5288,99.57015,100.36915,99.77232,99.70093,99.59624,99.93137,99.37315,98.96107,99.19489,98.87148,99.28988,99.50035,98.52576,97.70692,96.98716,96.57556,95.55709,95.61125
"Gross enrolment ratio, primary, male (%)",SE.PRM.ENRR.MA,East Asia & Pacific,EAS,119.48373,117.46703,115.63869,113.48067,111.22204,108.83613,106.90218,107.02503,107.16903,108.47237,107.00203,105.64804,104.34611,102.52761,103.05697,102.96474,102.90817,102.27927,100.67382,100.92751,101.54723,102.05123,102.17977,103.59798
"Gross enrolment ratio, primary, male (%)",SE.PRM.ENRR.MA,Euro area,EMU,103.20107,102.20186,102.30169,102.74774,103.25333,103.96881,103.60971,105.06219,104.67903,104.55495,103.24987,103.09414,104.15179,104.60716,104.81902,104.77495,104.24144,103.8382,102.51597,102.49738,102.14211,102.86765,102.81021,102.76675
"Gross enrolment ratio, primary, male (%)",SE.PRM.ENRR.MA,Middle East & North Africa (excluding high income),MNA,103.6509,100.46016,100.29708,102.07302,99.57878,102.93942,101.19858,101.55833,102.05742,102.59246,105.16241,105.14639,104.78116,105.31152,105.73578,105.96909,106.48867,107.11738,105.78811,105.70277,105.89381,106.29823,106.35637,106.25582
"Gross enrolment ratio, primary, male (%)",SE.PRM.ENRR.MA,North America,NAC,106.15723,105.47032,104.75524,103.51295,104.43357,104.12697,102.62696,101.16863,100.54384,101.42521,100.84829,101.25922,101.99087,101.59242,102.88808,102.71513,101.76355,100.62361,99.92966,100.46078,101.4062,102.10517,101.34969,101.25903
"Gross enrolment ratio, primary, male (%)",SE.PRM.ENRR.MA,OECD members,OED,105.35045,104.93754,104.696,104.33174,104.42423,104.51659,103.5019,104.27081,103.99583,104.13635,103.56473,103.97891,104.49706,104.40458,105.01091,105.15184,104.77548,104.28286,103.16032,102.79408,102.72821,102.46821,102.16418,102.56832
"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,Latin America & Caribbean,LCN,0.98095,0.98079,0.97699,0.97281,0.97204,0.97046,0.96898,0.96693,0.97489,0.97025,0.97332,0.97383,0.97049,0.97288,0.97424,0.96969,0.97486,0.96921,0.97805,0.97973,0.9841,0.9823,0.98479,0.98331
"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,Europe & Central Asia,ECS,0.98663,0.98788,0.98823,0.98626,0.98408,0.9824,0.98228,0.98101,0.98156,0.98212,0.98601,0.98707,0.98673,0.98858,0.9897,0.98976,0.99178,0.993,0.99918,0.99924,0.99936,0.99651,0.99536,0.99613
"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,0.97645,0.97749,0.98056,0.97911,0.97887,0.97625,0.97403,0.9717,0.97223,0.97159,0.98012,0.98265,0.98305,0.98598,0.98754,0.98924,0.99171,0.99405,0.99944,0.99924,0.99878,0.99639,0.99347,0.99427
"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,Central Europe and the Baltics,CEB,0.98947,0.99681,0.98924,0.98946,0.99181,0.9909,0.98523,0.9828,0.98379,0.98664,0.98877,0.99022,0.9902,0.99136,0.99125,0.9896,0.99028,0.9912,0.9963,0.99773,0.99839,0.99779,0.99367,0.99347
"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,East Asia & Pacific,EAS,0.93937,0.94784,0.94843,0.95478,0.95859,0.96372,0.97011,0.9715,0.97692,0.98113,0.9887,0.99161,0.98839,0.98657,0.98386,0.98531,0.98429,0.9925,0.99481,0.9931,0.99569,0.99693,0.99782,0.99752
"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,Euro area,EMU,0.9958,0.99505,0.99563,0.9925,0.9865,0.98626,0.98909,0.9878,0.98825,0.99021,0.98792,0.98904,0.98772,0.98702,0.9883,0.9878,0.98976,0.99058,0.99722,0.99795,0.99962,0.99558,0.99601,0.99693
"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,Middle East & North Africa (excluding high income),MNA,0.84101,0.8521,0.85766,0.85907,0.86772,0.84079,0.86901,0.8757,0.88347,0.89097,0.91118,0.91448,0.91516,0.91747,0.92335,0.92794,0.93052,0.93251,0.95872,0.96236,0.96604,0.96481,0.9663,0.96845
"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,North America,NAC,0.98233,0.98159,0.98101,0.98985,0.98935,0.98749,1.0055,1.0232,1.02521,0.98606,1.00159,0.99469,0.98945,1.00628,0.99686,1.00141,1.00357,0.99125,0.9979,1.00044,0.99854,0.9928,0.99855,1.00038
"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,OECD members,OED,0.98507,0.98645,0.98478,0.98531,0.98513,0.98471,0.98849,0.99253,0.99499,0.98528,0.99121,0.98941,0.98714,0.99253,0.99086,0.99223,0.99423,0.99126,0.9963,0.99758,0.99805,0.99553,0.99716,0.99807
"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,Latin America & Caribbean,LCN,111.81152,112.52799,112.74121,113.10789,119.59674,119.75486,113.54387,120.55091,120.59999,116.8659,115.94606,114.73771,114.28271,113.93507,113.96392,114.09543,114.53563,113.08113,108.68896,107.84952,107.94318,107.93811,107.87724,108.3746
"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,Europe & Central Asia,ECS,103.53928,103.01478,102.84495,102.43571,101.96246,101.70632,101.28097,101.93232,101.95412,101.85607,102.36167,101.81465,100.94352,100.66547,100.80912,101.12018,100.91177,101.18562,101.94232,101.22869,101.17104,100.47945,100.61621,100.58048
"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,Europe & Central Asia (IDA & IBRD countries),TEC,104.46603,104.02636,103.55827,102.67562,101.96176,101.19065,100.69407,100.74337,100.97498,100.72479,103.03957,101.35249,99.02949,98.29654,98.49504,98.74958,98.61493,99.37839,101.20486,99.66625,99.75282,98.16853,98.5301,98.44977
"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,Central Europe and the Baltics,CEB,93.78032,95.18807,95.93442,96.80542,97.14883,97.63172,98.09977,98.64252,98.15541,98.36934,98.478,98.95448,98.39958,98.10568,98.32738,97.8429,98.32494,98.62449,98.16121,97.48528,96.83118,96.36232,94.95187,94.98712
"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,East Asia & Pacific,EAS,112.23955,111.3401,109.6755,108.34901,106.61634,104.88798,103.70723,103.97496,104.69596,106.42555,105.79273,104.76207,103.13424,101.15048,101.39334,101.45245,101.29098,101.5117,100.15152,100.23131,101.10995,101.73821,101.95658,103.34092
"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,Euro area,EMU,102.76728,101.69563,101.85494,101.97762,101.85993,102.54019,102.47916,103.78077,103.4491,103.53156,102.00264,101.96377,102.87319,103.24975,103.59265,103.49697,103.17432,102.85994,102.23052,102.28719,102.10309,102.41336,102.39953,102.4511
